Body Regions;A01
Chloromercuribenzoates;D02.455.426.559.389.127.500.261
p-Chloromercuribenzoic Acid;D02.455.426.559.389.127.500.261.275
Hydroxymercuribenzoates;D02.455.426.559.389.127.500.450
Nitrobenzoates;D02.455.426.559.389.127.650
Dithionitrobenzoic Acid;D02.455.426.559.389.127.650.300
Benzophenones;D02.455.426.559.389.134
Chlorthalidone;D02.455.426.559.389.134.500
Fenofibrate;D02.455.426.559.389.134.750
Tolcapone;D02.455.426.559.389.134.875
Benzyl Compounds;D02.455.426.559.389.140
Benzyl Alcohols;D02.455.426.559.389.140.200
Benzyl Alcohol;D02.455.426.559.389.140.200.100
Benzylamines;D02.455.426.559.389.140.210
Pargyline;D02.455.426.559.389.140.210.650
Bibenzyls;D02.455.426.559.389.140.308
2-Hydroxy-5-nitrobenzyl Bromide;D02.455.426.559.389.140.400
Lignans;D02.455.426.559.389.140.450
Flavonolignans;D02.455.426.559.389.140.450.388
Masoprocol;D02.455.426.559.389.140.450.582
Podophyllotoxin;D02.455.426.559.389.140.450.777
Benzylidene Compounds;D02.455.426.559.389.150
Stilbenes;D02.455.426.559.389.150.700
4-Acetamido-4'-isothiocyanatostilbene-2,2'-disulfonic Acid;D02.455.426.559.389.150.700.050
Bibenzyls;D02.455.426.559.389.150.700.075
Chlorotrianisene;D02.455.426.559.389.150.700.100
Clomiphene;D02.455.426.559.389.150.700.125
Enclomiphene;D02.455.426.559.389.150.700.125.500
Zuclomiphene;D02.455.426.559.389.150.700.125.750
Diethylstilbestrol;D02.455.426.559.389.150.700.175
Hexestrol;D02.455.426.559.389.150.700.175.450
4,4'-Diisothiocyanostilbene-2,2'-Disulfonic Acid;D02.455.426.559.389.150.700.200
Resveratrol;D02.455.426.559.389.150.700.375
Stilbamidines;D02.455.426.559.389.150.700.550
Tamoxifen;D02.455.426.559.389.150.700.900
Raloxifene Hydrochloride;D02.455.426.559.389.150.700.900.775
Toremifene;D02.455.426.559.389.150.700.900.900
Styrenes;D02.455.426.559.389.150.750
Styrene;D02.455.426.559.389.150.750.800
Polystyrenes;D02.455.426.559.389.150.750.800.830
Tyrphostins;D02.455.426.559.389.150.795
Biphenyl Compounds;D02.455.426.559.389.185
Aminobiphenyl Compounds;D02.455.426.559.389.185.060
Benzidines;D02.455.426.559.389.185.100
3,3'-Diaminobenzidine;D02.455.426.559.389.185.100.500
Clofenapate;D02.455.426.559.389.185.210
Dianisidine;D02.455.426.559.389.185.220
3,3'-Dichlorobenzidine;D02.455.426.559.389.185.226
Flurbiprofen;D02.455.426.559.389.185.350
Irbesartan;D02.455.426.559.389.185.413
Losartan;D02.455.426.559.389.185.475
Niclofolan;D02.455.426.559.389.185.600
Polybrominated Biphenyls;D02.455.426.559.389.185.680
Polychlorinated Biphenyls;D02.455.426.559.389.185.698
Telmisartan;D02.455.426.559.389.185.849
Bromobenzenes;D02.455.426.559.389.220
Chlorobenzenes;D02.455.426.559.389.261
Chlorophenols;D02.455.426.559.389.261.190
Hexachlorophene;D02.455.426.559.389.261.190.350
Dicofol;D02.455.426.559.389.261.220
Dinitrochlorobenzene;D02.455.426.559.389.261.250
Hexachlorobenzene;D02.455.426.559.389.261.400
Fluorobenzenes;D02.455.426.559.389.358
Iodobenzenes;D02.455.426.559.389.454
3-Iodobenzylguanidine;D02.455.426.559.389.454.300
Iopanoic Acid;D02.455.426.559.389.454.385
Iophendylate;D02.455.426.559.389.454.400
Ipodate;D02.455.426.559.389.454.450
Tyropanoate;D02.455.426.559.389.454.950
Nitrobenzenes;D02.455.426.559.389.565
Chloramphenicol;D02.455.426.559.389.565.175
Thiamphenicol;D02.455.426.559.389.565.175.850
Dinitrobenzenes;D02.455.426.559.389.565.225
Dinitrochlorobenzene;D02.455.426.559.389.565.250
Dinitrofluorobenzene;D02.455.426.559.389.565.280
Trinitrobenzenes;D02.455.426.559.389.565.880
Trinitrobenzenesulfonic Acid;D02.455.426.559.389.565.880.880
Phenols;D02.455.426.559.389.657
Aminophenols;D02.455.426.559.389.657.050
Bisphenol A-Glycidyl Methacrylate;D02.455.426.559.389.657.100
Bithionol;D02.455.426.559.389.657.120
Bromphenol Blue;D02.455.426.559.389.657.150
Catechols;D02.455.426.559.389.657.166
Capsaicin;D02.455.426.559.389.657.166.099
Catecholamines;D02.455.426.559.389.657.166.175
Dihydroxyphenylalanine;D02.455.426.559.389.657.166.175.200
Cysteinyldopa;D02.455.426.559.389.657.166.175.200.180
Levodopa;D02.455.426.559.389.657.166.175.200.480
Methyldopa;D02.455.426.559.389.657.166.175.200.538
Carbidopa;D02.455.426.559.389.657.166.175.200.538.200
Dobutamine;D02.455.426.559.389.657.166.175.220
Dopamine;D02.455.426.559.389.657.166.175.342
Deoxyepinephrine;D02.455.426.559.389.657.166.175.342.300
Hydroxydopamines;D02.455.426.559.389.657.166.175.342.478
Oxidopamine;D02.455.426.559.389.657.166.175.342.478.650
Epinephrine;D02.455.426.559.389.657.166.175.461
Deoxyepinephrine;D02.455.426.559.389.657.166.175.461.200
Metanephrine;D02.455.426.559.389.657.166.175.461.400
Racepinephrine;D02.455.426.559.389.657.166.175.461.825
Isoproterenol;D02.455.426.559.389.657.166.175.649
Metaproterenol;D02.455.426.559.389.657.166.175.660
Fenoterol;D02.455.426.559.389.657.166.175.660.300
Norepinephrine;D02.455.426.559.389.657.166.175.830
Droxidopa;D02.455.426.559.389.657.166.175.830.220
Nordefrin;D02.455.426.559.389.657.166.175.830.400
Normetanephrine;D02.455.426.559.389.657.166.175.830.700
Curcumin;D02.455.426.559.389.657.166.200
1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt;D02.455.426.559.389.657.166.210
Estrogens, Catechol;D02.455.426.559.389.657.166.350
Hydroxyestrones;D02.455.426.559.389.657.166.350.350
Guaiacol;D02.455.426.559.389.657.166.453
Guaifenesin;D02.455.426.559.389.657.166.453.400
3-Methoxy-4-hydroxyphenylethanol;D02.455.426.559.389.657.166.500
Masoprocol;D02.455.426.559.389.657.166.550
Chlorophenols;D02.455.426.559.389.657.190
Dichlorophen;D02.455.426.559.389.657.190.270
Hexachlorophene;D02.455.426.559.389.657.190.350
Pentachlorophenol;D02.455.426.559.389.657.190.633
Cresols;D02.455.426.559.389.657.239
Bisacodyl;D02.455.426.559.389.657.239.132
Brocresine;D02.455.426.559.389.657.239.180
Bromcresol Green;D02.455.426.559.389.657.239.190
Bromcresol Purple;D02.455.426.559.389.657.239.195
Butylated Hydroxytoluene;D02.455.426.559.389.657.239.216
Creosote;D02.455.426.559.389.657.239.327
Cyclofenil;D02.455.426.559.389.657.239.402
Dinitrocresols;D02.455.426.559.389.657.239.493
Formocresols;D02.455.426.559.389.657.239.611
Tolterodine Tartrate;D02.455.426.559.389.657.239.756
Tritolyl Phosphates;D02.455.426.559.389.657.239.900
Desvenlafaxine Succinate;D02.455.426.559.389.657.265
Dienestrol;D02.455.426.559.389.657.290
Humic Substances;D02.455.426.559.389.657.377
Hydroquinones;D02.455.426.559.389.657.393
Hydroxybenzoates;D02.455.426.559.389.657.410
Depsides;D02.455.426.559.389.657.410.100
Gallic Acid;D02.455.426.559.389.657.410.200
Hydrolyzable Tannins;D02.455.426.559.389.657.410.200.299
Propyl Gallate;D02.455.426.559.389.657.410.200.600
Hydroxymercuribenzoates;D02.455.426.559.389.657.410.400
Pactamycin;D02.455.426.559.389.657.410.450
Parabens;D02.455.426.559.389.657.410.460
Salicylates;D02.455.426.559.389.657.410.595
Aminosalicylic Acids;D02.455.426.559.389.657.410.595.100
Aminosalicylic Acid;D02.455.426.559.389.657.410.595.100.060
Mesalamine;D02.455.426.559.389.657.410.595.100.540
Anacardic Acids;D02.455.426.559.389.657.410.595.151
Aspirin;D02.455.426.559.389.657.410.595.176
Aspirin, Dipyridamole Drug Combination;D02.455.426.559.389.657.410.595.176.500
Dicamba;D02.455.426.559.389.657.410.595.202
Diflunisal;D02.455.426.559.389.657.410.595.303
Gentisates;D02.455.426.559.389.657.410.595.405
Salicylic Acid;D02.455.426.559.389.657.410.595.608
Sodium Salicylate;D02.455.426.559.389.657.410.595.608.500
Indophenol;D02.455.426.559.389.657.446
2,6-Dichloroindophenol;D02.455.426.559.389.657.446.250
Nitrophenols;D02.455.426.559.389.657.566
Dinitrophenols;D02.455.426.559.389.657.566.304
2,4-Dinitrophenol;D02.455.426.559.389.657.566.304.500
2-Hydroxy-5-nitrobenzyl Bromide;D02.455.426.559.389.657.566.400
Niclofolan;D02.455.426.559.389.657.566.600
Nitrohydroxyiodophenylacetate;D02.455.426.559.389.657.566.610
Nitroxinil;D02.455.426.559.389.657.566.620
Picrates;D02.455.426.559.389.657.566.690
Tolcapone;D02.455.426.559.389.657.566.845
Phenol;D02.455.426.559.389.657.595
Phenolphthaleins;D02.455.426.559.389.657.625
Phenolphthalein;D02.455.426.559.389.657.625.555
Phenolsulfonphthalein;D02.455.426.559.389.657.625.560
Sulfobromophthalein;D02.455.426.559.389.657.625.617
Thymolphthalein;D02.455.426.559.389.657.625.808
Phenyl Ethers;D02.455.426.559.389.657.654
Anisoles;D02.455.426.559.389.657.654.158
Anethole Trithione;D02.455.426.559.389.657.654.158.100
Butylated Hydroxyanisole;D02.455.426.559.389.657.654.158.324
Fibric Acids;D02.455.426.559.389.657.654.305
Bezafibrate;D02.455.426.559.389.657.654.305.249
Clofenapate;D02.455.426.559.389.657.654.305.374
Clofibric Acid;D02.455.426.559.389.657.654.305.500
Clofibrate;D02.455.426.559.389.657.654.305.500.195
Fenofibrate;D02.455.426.559.389.657.654.305.625
Gemfibrozil;D02.455.426.559.389.657.654.305.750
Guaiacol;D02.455.426.559.389.657.654.453
Guaifenesin;D02.455.426.559.389.657.654.453.400
Methocarbamol;D02.455.426.559.389.657.654.453.400.500
Halogenated Diphenyl Ethers;D02.455.426.559.389.657.654.601
Hydroxybenzoate Ethers;D02.455.426.559.389.657.654.638
Hexobendine;D02.455.426.559.389.657.654.638.500
Metoclopramide;D02.455.426.559.389.657.654.638.625
Trimebutine;D02.455.426.559.389.657.654.638.750
Vanillic Acid;D02.455.426.559.389.657.654.638.875
Mexiletine;D02.455.426.559.389.657.654.675
Phenetidine;D02.455.426.559.389.657.654.750
Triclosan;D02.455.426.559.389.657.654.900
Phloroglucinol;D02.455.426.559.389.657.684
Phloretin;D02.455.426.559.389.657.684.602
Polyphloretin Phosphate;D02.455.426.559.389.657.684.602.615
Polyphenols;D02.455.426.559.389.657.715
Resveratrol;D02.455.426.559.389.657.715.500
Probucol;D02.455.426.559.389.657.746
Propofol;D02.455.426.559.389.657.773
Pyrogallol;D02.455.426.559.389.657.800
Resorcinols;D02.455.426.559.389.657.852
Hexylresorcinol;D02.455.426.559.389.657.852.467
Zearalenone;D02.455.426.559.389.657.852.900
Zeranol;D02.455.426.559.389.657.852.900.975
Tapentadol;D02.455.426.559.389.657.926
Phenylurea Compounds;D02.455.426.559.389.703
Carbanilides;D02.455.426.559.389.703.202
Imidocarb;D02.455.426.559.389.703.202.400
Nicarbazin;D02.455.426.559.389.703.202.550
Celiprolol;D02.455.426.559.389.703.241
Diflubenzuron;D02.455.426.559.389.703.280
Diuron;D02.455.426.559.389.703.397
Linuron;D02.455.426.559.389.703.515
Sorafenib;D02.455.426.559.389.703.757
Sulfanilic Acids;D02.455.426.559.389.750
Terphenyl Compounds;D02.455.426.559.389.805
Polychloroterphenyl Compounds;D02.455.426.559.389.805.700
Toluene;D02.455.426.559.389.832
Bromcresol Green;D02.455.426.559.389.832.140
Bromcresol Purple;D02.455.426.559.389.832.150
Bromphenol Blue;D02.455.426.559.389.832.180
Bromthymol Blue;D02.455.426.559.389.832.200
Toluene 2,4-Diisocyanate;D02.455.426.559.389.832.500
Toluidines;D02.455.426.559.389.832.559
Tosyl Compounds;D02.455.426.559.389.832.661
Tosylarginine Methyl Ester;D02.455.426.559.389.832.670
Tosyllysine Chloromethyl Ketone;D02.455.426.559.389.832.690
Tosylphenylalanyl Chloromethyl Ketone;D02.455.426.559.389.832.710
Trifluralin;D02.455.426.559.389.832.767
Trinitrotoluene;D02.455.426.559.389.832.868
Triparanol;D02.455.426.559.389.875
Trityl Compounds;D02.455.426.559.389.884
Xylenes;D02.455.426.559.389.948
Diarylheptanoids;D02.455.426.559.694
Curcumin;D02.455.426.559.694.222
Polycyclic Aromatic Hydrocarbons;D02.455.426.559.847
Anthracenes;D02.455.426.559.847.117
Anthralin;D02.455.426.559.847.117.050
Anthraquinones;D02.455.426.559.847.117.159
Carmine;D02.455.426.559.847.117.159.200
Cascara;D02.455.426.559.847.117.159.205
Emodin;D02.455.426.559.847.117.159.205.400
Mitoxantrone;D02.455.426.559.847.117.159.500
Senna Extract;D02.455.426.559.847.117.159.750
Maprotiline;D02.455.426.559.847.117.600
Azulenes;D02.455.426.559.847.133
Benz(a)Anthracenes;D02.455.426.559.847.149
9,10-Dimethyl-1,2-benzanthracene;D02.455.426.559.847.149.301
Methylcholanthrene;D02.455.426.559.847.149.500
Perylene;D02.455.426.559.847.149.700
Benzocycloheptenes;D02.455.426.559.847.181
Dibenzocycloheptenes;D02.455.426.559.847.181.384
Amitriptyline;D02.455.426.559.847.181.384.100
Butaclamol;D02.455.426.559.847.181.384.230
Cyproheptadine;D02.455.426.559.847.181.384.340
Loratadine;D02.455.426.559.847.181.384.340.500
Dizocilpine Maleate;D02.455.426.559.847.181.384.380
Nortriptyline;D02.455.426.559.847.181.384.535
Protriptyline;D02.455.426.559.847.181.384.650
Fluorenes;D02.455.426.559.847.389
2-Acetylaminofluorene;D02.455.426.559.847.389.050
Acetoxyacetylaminofluorene;D02.455.426.559.847.389.050.060
Hydroxyacetylaminofluorene;D02.455.426.559.847.389.050.400
Lumefantrine;D02.455.426.559.847.389.650
Artemether, Lumefantrine Drug Combination;D02.455.426.559.847.389.650.500
Tilorone;D02.455.426.559.847.389.850
Indenes;D02.455.426.559.847.486
Dimethindene;D02.455.426.559.847.486.250
Indans;D02.455.426.559.847.486.487
Aprindine;D02.455.426.559.847.486.487.060
Donepezil;D02.455.426.559.847.486.487.280
Ninhydrin;D02.455.426.559.847.486.487.500
Phenindione;D02.455.426.559.847.486.487.750
Sulindac;D02.455.426.559.847.486.875
Naphthacenes;D02.455.426.559.847.562
Anthracyclines;D02.455.426.559.847.562.050
Aclarubicin;D02.455.426.559.847.562.050.050
Daunorubicin;D02.455.426.559.847.562.050.200
Carubicin;D02.455.426.559.847.562.050.200.150
Doxorubicin;D02.455.426.559.847.562.050.200.175
Epirubicin;D02.455.426.559.847.562.050.200.175.200
Idarubicin;D02.455.426.559.847.562.050.200.300
Nogalamycin;D02.455.426.559.847.562.050.200.650
Menogaril;D02.455.426.559.847.562.050.200.650.500
Plicamycin;D02.455.426.559.847.562.050.650
Tetracyclines;D02.455.426.559.847.562.900
Chlortetracycline;D02.455.426.559.847.562.900.146
Demeclocycline;D02.455.426.559.847.562.900.185
Doxycycline;D02.455.426.559.847.562.900.200
Lymecycline;D02.455.426.559.847.562.900.450
Methacycline;D02.455.426.559.847.562.900.525
Minocycline;D02.455.426.559.847.562.900.550
Oxytetracycline;D02.455.426.559.847.562.900.600
Rolitetracycline;D02.455.426.559.847.562.900.720
Tetracycline;D02.455.426.559.847.562.900.875
Tigecycline;D02.455.426.559.847.562.900.937
Naphthalenes;D02.455.426.559.847.638
Acenaphthenes;D02.455.426.559.847.638.059
Adapalene;D02.455.426.559.847.638.090
Adapalene, Benzoyl Peroxide Drug Combination;D02.455.426.559.847.638.090.500
Bunaftine;D02.455.426.559.847.638.120
Carbaryl;D02.455.426.559.847.638.162
Cinacalcet;D02.455.426.559.847.638.183
Dansyl Compounds;D02.455.426.559.847.638.204
Lovastatin;D02.455.426.559.847.638.400
Simvastatin;D02.455.426.559.847.638.400.900
Ezetimibe, Simvastatin Drug Combination;D02.455.426.559.847.638.400.900.500
Naphthaleneacetic Acids;D02.455.426.559.847.638.472
Naproxen;D02.455.426.559.847.638.472.500
Naphthalenesulfonates;D02.455.426.559.847.638.555
Amaranth Dye;D02.455.426.559.847.638.555.200
Amido Black;D02.455.426.559.847.638.555.220
Anilino Naphthalenesulfonates;D02.455.426.559.847.638.555.282
Congo Red;D02.455.426.559.847.638.555.300
Evans Blue;D02.455.426.559.847.638.555.400
Suramin;D02.455.426.559.847.638.555.750
Trypan Blue;D02.455.426.559.847.638.555.875
Naphthols;D02.455.426.559.847.638.638
Naphthoquinones;D02.455.426.559.847.638.721
Vitamin K;D02.455.426.559.847.638.721.374
Vitamin K 1;D02.455.426.559.847.638.721.374.689
Vitamin K 2;D02.455.426.559.847.638.721.374.844
Vitamin K 3;D02.455.426.559.847.638.721.374.922
1-Naphthylamine;D02.455.426.559.847.638.845
Sertraline;D02.455.426.559.847.638.845.800
2-Naphthylamine;D02.455.426.559.847.638.850
1-Naphthylisothiocyanate;D02.455.426.559.847.638.870
Naphthylvinylpyridine;D02.455.426.559.847.638.900
Pravastatin;D02.455.426.559.847.638.930
Propranolol;D02.455.426.559.847.638.945
Terbinafine;D02.455.426.559.847.638.953
Tetrahydronaphthalenes;D02.455.426.559.847.638.960
8-Hydroxy-2-(di-n-propylamino)tetralin;D02.455.426.559.847.638.960.400
Bexarotene;D02.455.426.559.847.638.960.423
Bunolol;D02.455.426.559.847.638.960.446
Levobunolol;D02.455.426.559.847.638.960.446.500
Mibefradil;D02.455.426.559.847.638.960.585
Podophyllotoxin;D02.455.426.559.847.638.960.675
Etoposide;D02.455.426.559.847.638.960.675.250
Tetralones;D02.455.426.559.847.638.960.837
Tolnaftate;D02.455.426.559.847.638.975
Phenalenes;D02.455.426.559.847.680
Perylene;D02.455.426.559.847.680.500
Phenanthrenes;D02.455.426.559.847.723
Aristolochic Acids;D02.455.426.559.847.723.089
Chrysenes;D02.455.426.559.847.723.180
Diterpenes, Abietane;D02.455.426.559.847.723.590
Pyrenes;D02.455.426.559.847.799
Benzopyrenes;D02.455.426.559.847.799.306
Benzo(a)pyrene;D02.455.426.559.847.799.306.300
Dihydroxydihydrobenzopyrenes;D02.455.426.559.847.799.306.400
7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide;D02.455.426.559.847.799.306.400.350
Spiro Compounds;D02.455.426.779
Buspirone;D02.455.426.779.120
Fluorescamine;D02.455.426.779.345
Fluoresceins;D02.455.426.779.347
Eosine I Bluish;D02.455.426.779.347.300
Eosine Yellowish-(YS);D02.455.426.779.347.325
Erythrosine;D02.455.426.779.347.350
Fluorescein;D02.455.426.779.347.390
Fluorescein-5-isothiocyanate;D02.455.426.779.347.400
Rose Bengal;D02.455.426.779.347.700
Fluspirilene;D02.455.426.779.350
Irbesartan;D02.455.426.779.431
Leucogenenol;D02.455.426.779.511
Spiperone;D02.455.426.779.800
Hydrocarbons, Halogenated;D02.455.526
Halothane;D02.455.526.340
Hydrocarbons, Brominated;D02.455.526.368
Bromobenzenes;D02.455.526.368.150
Bromochlorofluorocarbons;D02.455.526.368.175
Bromotrichloromethane;D02.455.526.368.200
Ethylene Dibromide;D02.455.526.368.225
Polybrominated Biphenyls;D02.455.526.368.700
Hydrocarbons, Chlorinated;D02.455.526.439
Aldrin;D02.455.526.439.042
Carbon Tetrachloride;D02.455.526.439.150
Chlordan;D02.455.526.439.180
Chlordecone;D02.455.526.439.190
Chloroacetates;D02.455.526.439.196
Dichloroacetic Acid;D02.455.526.439.196.500
Trichloroacetic Acid;D02.455.526.439.196.750
Chlorobenzenes;D02.455.526.439.202
Dicofol;D02.455.526.439.202.190
Dinitrochlorobenzene;D02.455.526.439.202.200
Hexachlorobenzene;D02.455.526.439.202.400
Chlorofluorocarbons;D02.455.526.439.220
Bromochlorofluorocarbons;D02.455.526.439.220.149
Chlorofluorocarbons, Ethane;D02.455.526.439.220.224
Chlorofluorocarbons, Methane;D02.455.526.439.220.300
Chloroform;D02.455.526.439.224
Bromotrichloromethane;D02.455.526.439.224.200
DDT;D02.455.526.439.255
Dichlorodiphenyl Dichloroethylene;D02.455.526.439.292
Dichlorodiphenyldichloroethane;D02.455.526.439.294
Dichloroethylenes;D02.455.526.439.350
Dieldrin;D02.455.526.439.371
Endrin;D02.455.526.439.416
Ethyl Chloride;D02.455.526.439.447
Ethylene Dichlorides;D02.455.526.439.458
Heptachlor;D02.455.526.439.516
Heptachlor Epoxide;D02.455.526.439.516.350
Hexachlorocyclohexane;D02.455.526.439.600
Methoxychlor;D02.455.526.439.610
Methyl Chloride;D02.455.526.439.632
Methylene Chloride;D02.455.526.439.642
Mirex;D02.455.526.439.659
Mitotane;D02.455.526.439.681
Picryl Chloride;D02.455.526.439.750
Polychlorinated Biphenyls;D02.455.526.439.773
Aroclors;D02.455.526.439.773.292
Chlorodiphenyl (54% Chlorine);D02.455.526.439.773.292.077
Polychloroterphenyl Compounds;D02.455.526.439.785
Aroclors;D02.455.526.439.785.292
Chlorodiphenyl (54% Chlorine);D02.455.526.439.785.292.077
Tetrachloroethylene;D02.455.526.439.880
Toxaphene;D02.455.526.439.913
Trichloroepoxypropane;D02.455.526.439.920
Trichloroethanes;D02.455.526.439.927
Trichloroethylene;D02.455.526.439.939
Vinyl Chloride;D02.455.526.439.975
Hydrocarbons, Fluorinated;D02.455.526.510
Chlorofluorocarbons;D02.455.526.510.140
Bromochlorofluorocarbons;D02.455.526.510.140.149
Chlorofluorocarbons, Ethane;D02.455.526.510.140.224
Chlorofluorocarbons, Methane;D02.455.526.510.140.300
Desflurane;D02.455.526.510.213
Fluoroacetates;D02.455.526.510.286
Trifluoroacetic Acid;D02.455.526.510.286.500
Fluorobenzenes;D02.455.526.510.432
Rosuvastatin Calcium;D02.455.526.510.432.500
Fluorocarbons;D02.455.526.510.435
Sevoflurane;D02.455.526.510.717
Hydrocarbons, Iodinated;D02.455.526.581
Iodoacetates;D02.455.526.581.247
Iodoacetamide;D02.455.526.581.247.249
Iodoacetic Acid;D02.455.526.581.247.500
Iodobenzenes;D02.455.526.581.496
3-Iodobenzylguanidine;D02.455.526.581.496.300
Iopanoic Acid;D02.455.526.581.496.385
Iophendylate;D02.455.526.581.496.400
Ipodate;D02.455.526.581.496.450
Tyropanoate;D02.455.526.581.496.950
Mustard Compounds;D02.455.526.728
Mustard Gas;D02.455.526.728.468
Nitrogen Mustard Compounds;D02.455.526.728.650
Aniline Mustard;D02.455.526.728.650.050
Bendamustine Hydrochloride;D02.455.526.728.650.103
Chlorambucil;D02.455.526.728.650.156
Prednimustine;D02.455.526.728.650.156.700
Estramustine;D02.455.526.728.650.275
Mannomustine;D02.455.526.728.650.463
Mechlorethamine;D02.455.526.728.650.529
Melphalan;D02.455.526.728.650.594
Peptichemio;D02.455.526.728.650.594.690
Phosphoramide Mustards;D02.455.526.728.650.730
